,Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,Certificate,Austria,Luxembourg,Latvia,Malta,Netherlands,Portugal,Romania,Sweden,Slovenia,Lithuania,Italy,Bulgaria,Cyprus,Denmark,Greece,Spain,Finland,France,Hungary,Slovakia,Ireland,Belgium,Czech Republic,Estonia,Croatia,Germany,Poland,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Iceland,Liechtenstein,Norway,"Innovation
Fund",Austria (volume),Belgium (volume),Bulgaria (volume),Croatia (volume),Cyprus (volume),Czech Republic (volume),Denmark (volume),Estonia (volume),Finland (volume),France (volume),Germany (volume),Greece (volume),Hungary (volume),Iceland (volume),Ireland (volume),Italy (volume),Latvia (volume),Liechtenstein (volume),Lithuania (volume),Luxembourg (volume),Malta (volume),Netherlands (volume),Norway (volume),Poland (volume),Portugal (volume),Romania (volume),Slovakia (volume),Slovenia (volume),Spain (volume),Sweden (volume)
443,2014-03-13 00:00:00,2014-03-13 11:00:56,EU,T3PA,6.51,1.0,6.7,5.05,6.3,4018500,28085000.0,6.99,20.0,16.0,26160435.0,EU,,670530.0,58590.0,130200.0,48825.0,,846300.0,1692600.0,429660.0,211575.0,,4641630.0,800730.0,16275.0,605430.0,1673070.0,4159890.0,807240.0,2636550.0,,742140.0,449190.0,1223880.0,,224595.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
444,2014-03-11 00:00:00,2014-03-11 11:00:28,EU,T3PA,6.81,1.0,7.3,5.4,6.66,4018500,29303000.0,7.29,18.0,15.0,27365985.0,EU,,701430.0,61290.0,136200.0,51075.0,,885300.0,1770600.0,449460.0,221325.0,,4855530.0,837630.0,17025.0,633330.0,1750170.0,4351590.0,844440.0,2758050.0,,776340.0,469890.0,1280280.0,,234945.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.00000000003,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.00000000001,260000.00000000003,114000.0,32500.000000000004,639000.0,66000.0
445,2014-03-10 00:00:00,2014-03-10 11:00:29,EU,T3PA,6.93,1.0,8.0,5.56,6.8,4018500,27073000.0,6.74,21.0,15.0,27848205.0,EU,,713790.0,62370.0,138600.0,51975.0,,900900.0,1801800.0,457380.0,225225.0,,4941090.0,852390.0,17325.0,644490.0,1781010.0,4428270.0,859320.0,2806650.0,,790020.0,478170.0,1302840.0,,239085.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
446,2014-03-07 00:00:00,2014-03-07 11:00:49,DE,T3PA,6.72,1.0,8.0,5.19,6.6,4600000,27514500.0,5.98,21.0,15.0,30912000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,30912000.0,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,,,,,,,,,
447,2014-03-06 00:00:00,2014-03-06 11:00:29,EU,T3PA,6.71,1.0,8.0,5.74,6.67,4018500,19702000.0,4.9,17.0,14.0,26964135.0,EU,,691130.0,60390.0,134200.0,50325.0,,872300.0,1744600.0,442860.0,218075.0,,4784230.0,825330.0,16775.0,624030.0,1724470.0,4287690.0,832040.0,2717550.0,,764940.0,462990.0,1261480.0,,231495.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
448,2014-03-05 00:00:00,2014-03-05 11:00:29,PL,T3PA,6.89,2.0,7.0,6.16,6.82,4445000,11123000.0,2.5,10.0,8.0,30626050.0,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,30626050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4445000.0,,,,,,
449,2014-03-04 00:00:00,2014-03-04 11:01:13,EU,T3PA,6.65,1.0,8.0,5.68,6.58,4018500,22527500.0,5.61,20.0,10.0,26723025.0,EU,,684950.0,59850.0,133000.0,49875.0,,864500.0,1729000.0,438900.0,216125.0,,4741450.0,817950.0,16625.0,618450.0,1709050.0,4249350.0,824600.0,2693250.0,,758100.0,458850.0,1250200.0,,229425.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
450,2014-03-03 00:00:00,2014-03-03 11:00:31,EU,T3PA,6.97,1.0,8.0,5.83,6.93,4018500,22020000.0,5.48,16.0,12.0,28008945.0,EU,,717910.0,62730.0,139400.0,52275.0,,906100.0,1812200.0,460020.0,226525.0,,4969610.0,857310.0,17425.0,648210.0,1791290.0,4453830.0,864280.0,2822850.0,,794580.0,480930.0,1310360.0,,240465.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
451,2014-02-28 00:00:00,2014-02-28 11:00:29,DE,T3PA,6.83,1.0,8.0,5.94,6.75,4600000,24544500.0,5.34,22.0,13.0,31418000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,31418000.0,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,,,,,,,,,
452,2014-02-27 00:00:00,2014-02-27 11:00:30,EU,T3PA,6.47,1.0,7.0,5.26,6.3,4018500,24370500.0,6.06,25.0,14.0,25999695.0,EU,,666410.0,58230.0,129400.0,48525.0,,841100.0,1682200.0,427020.0,210275.0,,4613110.0,795810.0,16175.0,601710.0,1662790.0,4134330.0,802280.0,2620350.0,,737580.0,446430.0,1216360.0,,223215.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
